fieldid	question	question_new
20525	Since I was sixteen... There was money to pay the rent or mortgage when I needed it	Since I was sixteen... There was money to pay the rent or mortgage when I needed it
20526	In your life, have you...? Been in a serious accident that you believed to be life-threatening at the time	In your life, have you...? Been in a serious accident that you believed to be life-threatening at the time
20527	In your life, have you...? Been involved in combat or exposed to a war-zone (either in the military or as a civilian)	In your life, have you...? Been involved in combat or exposed to a war-zone (either in the military or as a civilian)
20528	In your life, have you...? Been diagnosed with a life-threatening illness	In your life, have you...? Been diagnosed with a life-threatening illness
20529	In your life, have you...? Been attacked, mugged, robbed, or been the victim of a physically violent crime	In your life, have you...? Been attacked, mugged, robbed, or been the victim of a physically violent crime
20530	In your life, have you...? Witnessed a sudden violent death (eg. murder, suicide, aftermath of an accident)	In your life, have you...? Witnessed a sudden violent death (eg. murder, suicide, aftermath of an accident)
20531	In your life, have you...? Been a victim of a sexual assault, whether by a stranger or someone you knew	In your life, have you...? Been a victim of a sexual assault, whether by a stranger or someone you knew
20479	Many people have thoughts that life is not worth living. Have you felt that way?	Many people have thoughts that life is not worth living. Have you felt that way?
20480	Have you deliberately harmed yourself, whether or not you meant to end your life?	Have you deliberately harmed yourself, whether or not you meant to end your life?
20485	Have you contemplated harming yourself (for example by cutting, biting, hitting yourself or taking an overdose)?	Have you contemplated harming yourself (for example by cutting, biting, hitting yourself or taking an overdose)?
20458	In general how happy are you?	In general how happy are you?
20459	In general how happy are you with your HEALTH?	In general how happy are you with your health?
20460	To what extent do you feel your life to be meaningful?	To what extent do you feel your life to be meaningful?
20403	In the next two questions, a drink is defined as one unit of alcohol. How many drinks containing alcohol do you have on a typical day when you are drinking?	How many drinks containing alcohol do you have on a typical day when you are drinking?
20405	Has a relative or friend or a doctor or another health worker been concerned about your drinking or suggested you cut down?	Has a relative or friend or a doctor or another health worker been concerned about your drinking?
20411	Have you or someone else been injured as a result of your drinking?	Have you or someone else been injured as a result of your drinking?
20414	How often do you have a drink containing alcohol?	How often do you have a drink containing alcohol?
20416	In the next two questions, a drink is defined as one unit of alcohol. How often do you have six or more drinks on one occasion?	How often do you have six or more drinks on one occasion?
20453	Have you taken CANNABIS (marijuana, grass, hash, ganja, blow, draw, skunk, weed, spliff, dope), even if it was a long time ago?	Have you taken cannabis, even if it was a long time ago?
20425	People differ a lot in how much they worry about things. Did you ever have a time when you worried a lot more than most people would in your situation?	Did you ever have a time when you worried a lot more than most people would in your situation?
